STATUS OF ELECTRONIC INTERLOCKING	,,,,,,,,,,06-02-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S No,SSE SEC,Station/Section,Station / Auto Section,SECTION,Route,Make,No. of Routes,State,Date of Installation,FY,Centralised / Distributed,No of OCs,"RDSO
Typical Circuit",Power cable redundancy available between IPS room and EI room,T.D.C for Redundant Power Cable Provision ,"Dual VDU/Panel+
 VDU/Panel+
 VDU Wkg","VDU 1
Make & Model","VDU 1
Date of Manufacture","VDU 1
Date of last replacement ","VDU 2
Make & Model","VDU 2
Date of Manufacture","VDU 2
Date of last replacement ","Embeded PC 1
 Make & Model","Embeded PC 1
Date of Manufacture ","Embeded PC 1
Date of last replacement ","Embeded PC 2
 Make & Model","Embeded PC 2
Date of Manufacture ","Embeded PC 2
Date of last replacement ",Power supply to VDU 1,Power supply to VDU 2,"Temporory Files Deletion
Status",HOT STAND BY /WARM STAND BY,EI Version,Latest Upgrade,Upgraded / Not Upgraded,Up Graded Date,MT AVAILABLE INSIDE / OUTSIDE RELAY ROOM,Warranty / AMC,"Period of WARR/ AMC
From","Period of WARR/ AMC
To",AC PROVIDED / NOT PROVIDED,BATTERY CHARGER CONVENTIONAL/ RIPPLE FREE,Emergency Route Release counter,Register Availability,S&T KEY For EMRC avaailable with,Codal Life,"Availability of Managed Network Switch 
(PFC)",Availability of flashing/Steady indication of Communication link on VDU,Availability of System A/B (Channel A/B) failure indication on VDU,Last Date of AMC,"AMC Time
From","AMC Time
To",Work done During AMC,Deficiency noted during AMC,Spare Card Available Details,Spare Cards Last Tested Date,Availablity of Emergency Panel,Date of Provision of Emergency Panel,Status of Emergency Panel working, 
1,MAS,MASS,Station,MAS-GDR,B,KYOSAN,39,TN,19-09-16,2016-17,Centralised,NA,NO,NO,15-02-2025,"DUAL VDU
(21.03.22)","LG
55UH5F",21-03-22,,,,,"C&T
ACO-6033C-2L-M12",,,,,,BX110/IPS,230/AT With UPS,,HOT STAND BY,K5BMC,,Upgraded,,OUTSIDE,AMC,10-06-25,09-06-28,PROVIDED,IPS SUPPLY,PROVIDED,PROVIDED,SM,5-10 years,NO,YES,YES,,,,,,,,NO,,NA,
2,BBQ,BBQ,Station,MAS-GDR,A,KYOSAN,57,TN,26-09-16,2016-17,Centralised,NA,NO,YES,,"DUAL VDU
(01.03.22)",,,,,,,,,,,,,BX110/IPS,230/AT With UPS,,HOT STAND BY,K5BMC,,Upgraded,,OUTSIDE,AMC,10-06-25,09-06-28,PROVIDED,RIPPLE FREE,PROVIDED,PROVIDED,ESM,5-10 years,NO,YES,YES,,,,,,,,NO,,NA,
3,BBQ,VPY,Station,MAS-AJJ,B,HITACHI,32,TN,27-06-13,2013-14,Centralised,NA,NO,YES,,"DUAL VDU
(07.02.22)",,,,,,,,,,,,,BX110/IPS,230/AT With UPS,,HOT STAND BY,MLK-II,"MLK-II, HOT S/BY
ECB/SYNC
Ver 7.70",Upgraded,24-01-24,OUTSIDE,AMC,28-04-25,27-04-28,PROVIDED,IPS SUPPLY,PROVIDED,PROVIDED,ESM,10-15 years,,NO,YES,,,,,,,,NO,,NA,
4,BBQ,PEW,Station,MAS-AJJ,B,MEDHA,10,TN,04-09-23,2023-24,Centralised,NA,YES,YES,,DUAL VDU,,,04-09-23,,,04-09-23,,,,,,,BX110/IPS,230/AT With UPS,,HOT STAND BY,MEI 634,,,,INSIDE,Due for AMC,04-09-23,03-09-24,PROVIDED,Mini IPS SUPPLY,PROVIDED,PROVIDED,SM,1-5 years,,NO,YES,,,,,,,,YES,04-09-23,Working,
5,BBQ,VLK,Station,MAS-AJJ,B,HITACHI,59,TN,30-03-14,2013-14,Centralised,NA,NO,YES,,"DUAL VDU
(19.06.22)",,,,,,,,,,,,,BX110/IPS,BX110/IPS,,HOT STAND BY,MLK-II,"MLK-II, HOT S/BY
ECB/SYNC
Ver 7.70",Upgraded,24-01-24,OUTSIDE,AMC,28-04-25,27-04-28,PROVIDED,IPS SUPPLY,PROVIDED,PROVIDED,ESM,10-15 years,,YES,YES,,,,,,,,NO,,NA,
6,BBQ,ABU,Station,MAS-AJJ,B,HITACHI,88,TN,24-08-14,2014-15,Centralised,NA,NO,YES,,"DUAL VDU
(15.10.22)",,,,,,,,,,,,,BX110/IPS,BX110/IPS,,HOT STAND BY,MLK-II,"MLK-II, HOT S/BY
ECB/SYNC
Ver 7.70",Upgraded,22-01-24,OUTSIDE,AMC,28-04-25,27-04-28,PROVIDED,IPS SUPPLY,PROVIDED,PROVIDED,SM,10-15 years,,YES,YES,,,,,,,,NO,,NA,
7,BBQ,WST,Station,MAS-AJJ,C,KYOSAN,10,TN,31-03-19,2018-19,Centralised,NA,NO,YES,,DUAL VDU,,,,,,,,,,,,,BX110/IPS,BX110/IPS,,HOT STAND BY,K5BMC,,Upgraded,,OUTSIDE,AMC,10-06-25,09-06-28,NOT PROVIDED,IPS SUPPLY,EMRC Not Available,NOT PROVIDED,N/A,5-10 years,NO,YES,YES,,,,,,,,NO,,NA,
8,BBQ,RPM,Station,MAS-AJJ,C,KYOSAN,101,TN,31-03-19,2018-19,Centralised,NA,NO,YES,,DUAL VDU,,,,,,,,,,,,,BX110/IPS,BX110/IPS,,HOT STAND BY,K5BMC,,Upgraded,,OUTSIDE,AMC,10-06-25,09-06-28,PROVIDED,CONVENTIONAL ,EMRC Not Available,NOT PROVIDED,N/A,5-10 years,NO,YES,YES,,,,,,,,NO,,NA,
9,BBQ,KOK,Station,MAS-GDR,A,KYOSAN,34,TN,30-12-18,2018-19,Centralised,NA,NO,YES,,DUAL VDU,,,,,,,,,,,,,BX110/IPS,BX110/IPS,,HOT STAND BY,K5BMC,,Upgraded,,OUTSIDE,AMC,10-06-25,09-06-28,PROVIDED,IPS SUPPLY,EMRC Not Available,NOT PROVIDED,N/A,5-10 years,NO,YES,YES,,,,,,,,NO,,NA,
10,TVT,TNP,Station,MAS-GDR,A,KYOSAN,58,TN,30-12-18,2018-19,Centralised,NA,NO,YES,,DUAL VDU,,,,,,,,,,,,,BX110/IPS,BX110/IPS,,HOT STAND BY,K5BMC,,Upgraded,,OUTSIDE,AMC,27-06-25,26-06-28,PROVIDED,IPS SUPPLY,PROVIDED,PROVIDED,SEAL PROVIDED,5-10 years,NO,YES,YES,,,,,,,,NO,,NA,
